Transaction Date,Units,Unit Cost,Net Cost,Product Description,Merchant Name,Merchant City,Merchant State / Province
01/01/2022,8.658,$3.68,31.85,Unleaded Regular,Pilot Site 328,Quartzsite,AZ
01/01/2022,20.204,$3.68,74.33,Unleaded Regular,Pilot Site 328,Quartzsite,AZ
01/02/2022,37.522,$4.08,155.05,Regular Diesel #2,Pilot Site 328,Quartzsite,AZ
01/02/2022,29.621,$4.08,122.82,Regular Diesel #2,Pilot Site 328,Quartzsite,AZ
01/02/2022,29.533,$3.80,112.20,Regular Diesel #2,Chevron 0209914,Tucson,AZ
01/02/2022,21.08,$3.70,77.97,Unleaded Regular,Circle K - 03397,Buckeye,AZ
01/02/2022,3.91,$4.00,15.64,Diesel Exhaust Fluid,Pilot Site 328,Quartzsite,AZ
01/02/2022,32.167,$4.16,135.78,Premium Diesel #2,Pilot Site 328,Quartzsite,AZ
01/03/2022,17.47,$3.15,55.02,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/03/2022,22.824,$3.13,71.42,UNL REG 86/87 OC,QT 1490,TUCSON,AZ
01/03/2022,30.345,$4.08,125.78,Regular Diesel #2,Pilot Site 328,Quartzsite,AZ
01/03/2022,37.52,$4.16,156.13,Premium Diesel #2,Wood Street 27,Phoenix,AZ
01/03/2022,34.754,$4.05,142.72,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/03/2022,7.711,$4.08,33.45,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/03/2022,12.134,$3.33,40.44,Unleaded Regular,ARCO #42331 AMPM,Tucson,AZ
01/03/2022,19.588,$3.40,66.56,Unleaded Regular,Circle K - 01773,Tucson,AZ
01/04/2022,22.23,$3.15,70.00,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/04/2022,19.973,$3.13,62.50,UNL REG 86/87 OC,QT 1490,TUCSON,AZ
01/04/2022,15.971,$3.70,59.08,Unleaded Regular,Quartzsite Mobil,Quartzsite,AZ
01/04/2022,55.182,$4.08,227.09,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/04/2022,31.275,$4.05,128.63,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/04/2022,18.22,$3.83,69.75,Regular Diesel #2,Circle K - 01773,Tucson,AZ
01/04/2022,19.843,$3.68,73.00,Unleaded Regular,Pilot Site 328,Quartzsite,AZ
01/04/2022,22.568,$3.68,83.03,Unleaded Regular,Pilot Site 328,Quartzsite,AZ
01/05/2022,5.799,$3.45,20.00,UNL REG 86/87 OC,FRYS FUEL #7679,SAHUARITA,AZ
01/05/2022,19.04,$3.15,59.95,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/05/2022,15.78,$3.15,49.68,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/05/2022,15.27,$3.15,48.09,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/05/2022,17.397,$4.20,73.05,Premium Diesel #2,Quartzsite Mobil,Quartzsite,AZ
01/05/2022,36.75,$4.13,151.83,Premium Diesel #2,Wood Street 27,Phoenix,AZ
01/05/2022,38.659,$4.05,158.53,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/05/2022,10.105,$4.08,43.22,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/05/2022,17.031,$3.40,57.87,Unleaded Regular,Circle K - 01773,Tucson,AZ
01/05/2022,34.459,$3.89,136.01,Regular Diesel #2,Pilot Site 458,Eloy,AZ
01/06/2022,19.06,$3.15,60.01,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/06/2022,12.33,$3.15,38.81,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/06/2022,14.126,$3.13,44.20,UNL REG 86/87 OC,QT 1490,TUCSON,AZ
01/06/2022,30.315,$4.05,124.75,Regular Diesel #2,Pilot Site 328,Quartzsite,AZ
01/06/2022,29.465,$4.08,122.19,Regular Diesel #2,Pilot Site 328,Quartzsite,AZ
01/06/2022,46.962,$4.08,193.56,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/06/2022,24.227,$4.08,100.82,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/06/2022,25.132,$3.89,99.74,Regular Diesel #2,Pilot Site 458,Eloy,AZ
01/06/2022,18.421,$3.74,68.88,Unleaded Regular,Union 76,Ehrenberg,AZ
01/06/2022,23.366,$3.74,87.37,Unleaded Regular,Union 76,Ehrenberg,AZ
01/07/2022,18.776,$3.13,58.75,UNL REG 86/87 OC,QT 1490,TUCSON,AZ
01/07/2022,11.82,$3.15,37.23,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/07/2022,15.8,$3.15,49.74,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/07/2022,24.73,$3.15,77.87,UNLEADED REGULAR (86 OR 87 OCTANE),ANDEAVOR ARCO 42422,TUCSON,AZ
01/07/2022,16.106,$3.70,59.58,Unleaded Regular,Quartzsite Mobil,Quartzsite,AZ
01/07/2022,47.75,$4.08,196.77,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/07/2022,25.699,$4.08,106.83,Regular Diesel #2,Travel Center #1212,Salome,AZ
01/07/2022,19.468,$3.40,66.15,Unleaded Regular,Circle K - 01773,Tucson,AZ
01/07/2022,23.134,$4.30,99.45,Unleaded Regular,Chevron 0209749,Phoenix,AZ
01/07/2022,37.78,$4.13,156.08,Premium Diesel #2,Wood Street 27,Phoenix,AZ
01/07/2022,7.444,$3.68,27.39,Unleaded Regular,Pilot Site 328,Quartzsite,AZ
01/08/2022,18.338,$3.40,62.33,UNL REG 86/87 OC,QT 1461,TUCSON,AZ
01/08/2022,16.538,$3.70,61.17,Unleaded Regular,Quartzsite Mobil,Quartzsite,AZ
01/08/2022,16.992,$3.40,57.74,Unleaded Regular,Circle K - 01773,Tucson,AZ
